Times,Fold,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Confusion Matrix
7,2,1.9663,GridSearch-AFW-CIL,"K=7,s=0.5",0.8222,0.5625,0.6801,0.5455,0.7541,0.6924,"[[37, 8], [7, 9]]"
7,2,4.8618,PSO-AFW-CIL,"K=10,s1=0.133,s2=0.059,s3=0.205,s4=0.123",0.5556,0.75,0.6455,0.5,0.6066,0.6528,"[[25, 20], [4, 12]]"
7,3,0.0181,W-SVM,baseline,0.9111,0.375,0.5845,0.4615,0.7705,0.6431,"[[41, 4], [10, 6]]"
7,3,0.1,AFW-CIL_fixed,fixed_sigma_1.2,0.8889,0.4375,0.6236,0.5,0.7705,0.6632,"[[40, 5], [9, 7]]"
7,3,1.903,GridSearch-AFW-CIL,"K=3,s=0.1",0.7778,0.75,0.7638,0.6316,0.7705,0.7639,"[[35, 10], [4, 12]]"
7,3,5.2241,PSO-AFW-CIL,"K=7,s1=0.500,s2=0.010,s3=0.010,s4=0.990",0.7778,0.75,0.7638,0.6316,0.7705,0.7639,"[[35, 10], [4, 12]]"
7,4,0.0153,W-SVM,baseline,1.0,0.0,0.0,0.0,0.7377,0.5,"[[45, 0], [16, 0]]"
7,4,0.1075,AFW-CIL_fixed,fixed_sigma_1.2,0.9111,0.375,0.5845,0.4615,0.7705,0.6431,"[[41, 4], [10, 6]]"
7,4,2.4009,GridSearch-AFW-CIL,"K=9,s=0.1",0.7556,0.5625,0.6519,0.5,0.7049,0.659,"[[34, 11], [7, 9]]"
7,4,4.9406,PSO-AFW-CIL,"K=7,s1=0.257,s2=0.275,s3=0.197,s4=0.336",0.8889,0.4375,0.6236,0.5,0.7705,0.6632,"[[40, 5], [9, 7]]"
7,5,0.0172,W-SVM,baseline,0.8667,0.375,0.5701,0.4286,0.7377,0.6208,"[[39, 6], [10, 6]]"
7,5,0.1066,AFW-CIL_fixed,fixed_sigma_1.2,0.8667,0.4375,0.6158,0.4828,0.7541,0.6521,"[[39, 6], [9, 7]]"
7,5,1.8541,GridSearch-AFW-CIL,"K=7,s=0.1",0.7111,0.6875,0.6992,0.55,0.7049,0.6993,"[[32, 13], [5, 11]]"
7,5,5.182,PSO-AFW-CIL,"K=8,s1=0.308,s2=0.010,s3=0.080,s4=0.898",0.7111,0.6875,0.6992,0.55,0.7049,0.6993,"[[32, 13], [5, 11]]"
8,1,0.0117,W-SVM,baseline,1.0,0.0,0.0,0.0,0.7258,0.5,"[[45, 0], [17, 0]]"
8,1,0.1174,AFW-CIL_fixed,fixed_sigma_1.2,0.8222,0.5294,0.6598,0.5294,0.7419,0.6758,"[[37, 8], [8, 9]]"
8,1,2.1221,GridSearch-AFW-CIL,"K=7,s=0.1",0.6889,0.7647,0.7258,0.5909,0.7097,0.7268,"[[31, 14], [4, 13]]"
8,1,5.9667,PSO-AFW-CIL,"K=5,s1=0.461,s2=0.053,s3=0.109,s4=0.194",0.6889,0.7647,0.7258,0.5909,0.7097,0.7268,"[[31, 14], [4, 13]]"
8,2,0.0475,W-SVM,baseline,0.9111,0.3125,0.5336,0.4,0.7541,0.6118,"[[41, 4], [11, 5]]"
8,2,0.1748,AFW-CIL_fixed,fixed_sigma_1.2,0.9111,0.375,0.5845,0.4615,0.7705,0.6431,"[[41, 4], [10, 6]]"
8,2,1.8735,GridSearch-AFW-CIL,"K=3,s=0.1",0.7556,0.5,0.6146,0.4571,0.6885,0.6278,"[[34, 11], [8, 8]]"
8,2,5.3283,PSO-AFW-CIL,"K=3,s1=0.192,s2=0.010,s3=0.204,s4=0.010",0.7556,0.5,0.6146,0.4571,0.6885,0.6278,"[[34, 11], [8, 8]]"
8,3,0.0153,W-SVM,baseline,0.9333,0.375,0.5916,0.48,0.7869,0.6542,"[[42, 3], [10, 6]]"
8,3,0.0885,AFW-CIL_fixed,fixed_sigma_1.2,0.8889,0.5,0.6667,0.5517,0.7869,0.6944,"[[40, 5], [8, 8]]"
8,3,1.7856,GridSearch-AFW-CIL,"K=7,s=0.5",1.0,0.0,0.0,0.0,0.7377,0.5,"[[45, 0], [16, 0]]"
8,3,4.6871,PSO-AFW-CIL,"K=10,s1=0.242,s2=0.183,s3=0.282,s4=0.747",0.8444,0.6875,0.7619,0.6471,0.8033,0.766,"[[38, 7], [5, 11]]"
8,4,0.0719,W-SVM,baseline,0.8,0.1875,0.3873,0.2143,0.6393,0.4938,"[[36, 9], [13, 3]]"
